112	I	005	306.5
113	I	001	4670
113	I	002	1370.25
113	I	003	200
114	I	001	3045
114	I	002	1370.25
114	I	003	200
118	I	001	1730
118	I	002	670
118	I	003	200
118	I	005	335
115	E	009	0
115	E	009	0
115	E	009	0
116	I	001	0
116	I	002	1370.25
117	I	001	4670
117	I	002	1370.25
117	I	003	200
079	I	001	0
079	I	002	2460
079	I	003	200
080	I	001	0
080	I	001	0
080	I	001	0
080	I	001	0
081	I	001	1490
081	I	001	1490
081	I	001	1490
082	I	001	0
082	I	002	825.75
082	I	003	200
119	I	001	0
119	I	002	520
119	I	003	200
083	I	001	2315
083	I	002	852.75
083	I	003	200
083	I	005	473.75
084	I	001	2520
084	I	002	852.75
084	I	003	200
084	I	005	473.75
085	I	001	2105
085	I	001	2105
085	I	001	2105
085	I	001	2105
086	I	001	1700
086	I	002	687.5
086	I	003	200
086	I	005	343.75
087	I	001	1590
087	I	002	570
087	I	003	200
087	I	005	285
088	I	001	1540
088	I	002	595
088	I	003	200
088	I	005	297.5
089	I	001	2350
089	I	001	2350
089	I	001	2350
089	I	001	2350
090	I	001	1490
090	I	002	545
090	I	003	200
090	I	005	272.5
091	I	001	2375
091	I	001	2375
091	I	001	2375
120	I	001	1620
120	I	002	615
120	I	003	200
122	I	001	1040
122	I	002	520
122	I	003	200
123	I	001	1040
123	I	002	520
123	I	003	200
124	I	001	2925
124	I	002	1073.25
124	I	003	200
124	I	005	596.25
125	I	001	4485
125	I	002	1572
125	I	003	200
126	I	001	1530
126	I	001	1530
126	I	001	1530
092	I	001	3570
092	I	002	987.75
092	I	003	200
093	I	001	2240
093	I	002	825
093	I	003	200
127	I	001	2385
127	I	002	690.75
127	I	003	200
127	I	005	383.75
128	I	001	1685
128	I	002	615
128	I	003	200
121	I	001	1880
121	I	002	660
121	I	003	200
121	I	005	330
102	I	001	0
102	I	002	595
102	I	003	200
129	I	001	0
129	I	002	690
129	I	003	200
130	I	001	0
130	I	002	595
130	I	003	200
100	I	001	0
100	I	002	630
100	I	003	200
103	I	001	1600
103	I	002	595
103	I	003	200
131	I	001	3910
131	I	002	1530
131	I	003	200
131	I	005	850
132	I	001	2100
132	I	002	670
132	I	003	200
133	I	001	2100
133	I	002	670
133	I	003	200
134	I	001	2765
134	I	002	965.25
134	I	003	200
135	I	001	3060
135	I	002	1377
135	I	003	200
136	I	001	0
136	I	002	1397.25
136	I	003	200
136	I	005	776.25
137	I	001	1875
137	I	002	615
137	I	003	200
138	I	001	1750
138	I	002	637.5
138	I	003	200
140	I	001	3910
140	I	002	1370.25
140	I	003	200
139	I	001	3910
139	I	002	1370.25
139	I	003	200
141	I	001	4855
141	I	002	1370.25
141	I	003	200
142	I	001	3045
142	I	002	1370.25
142	I	003	200
143	I	001	0
143	I	002	1370.25
143	I	003	200
144	I	001	3045
144	I	002	1370.25
144	I	003	200
145	I	001	0
145	I	002	1012
145	I	03 	200
003	E	006	172
004	E	006	258
005	E	006	373.5
006	E	006	521
007	E	006	361.5
008	E	006	170
009	E	006	391
010	E	006	165
011	E	006	152.5
012	E	006	493
013	E	006	379
014	E	006	408
015	E	006	363.5
016	E	006	241.5
017	E	006	232.5
018	E	006	239.5
019	E	006	214.5
020	E	006	214.5
021	E	006	214.5
022	E	006	198
023	E	006	183
024	E	006	195
025	E	006	183
026	E	006	186
027	E	006	154
028	E	006	425
029	E	006	250
030	E	006	156
031	E	006	161
032	I	001	0
033	E	006	149
034	E	006	332.5
035	E	006	218.5
036	E	006	373
037	E	006	200
039	E	006	135
040	E	006	192.5
042	E	006	128
043	E	006	513.5
044	E	006	344.5
045	I	001	2055
046	E	006	333
047	E	006	245.5
048	E	006	208.5
049	E	006	179
050	E	006	114
051	E	006	114
052	E	006	144
053	E	006	114
054	E	006	114
055	E	006	114
056	E	006	114
057	E	006	114
059	E	006	177.5
061	E	006	522
062	I	001	5025
064	E	006	240
066	E	006	229
067	E	006	270
068	E	006	223
069	E	006	462
